(22, '==> ', 'http://www.jsonline.com/news/usandworld/national/fifas-commercial-partners-urged-to-make-their-voices-heardda1eb04a8d484bad9bd26dfdcce3a387-305211281.html', '( doc.', 'http://www.jsonline.com/news/usandworld/national/fifas-commercial-partners-urged-to-make-their-voices-heardda1eb04a8d484bad9bd26dfdcce3a387-305211281.html', ') & ', 'http://www.usnews.com/http:/admin.usnews.com/news/business/articles/2015/05/27/fifas-commercial-partners-urged-to-make-their-voices-heard1', '( doc.', 'http://www.usnews.com/http:/admin.usnews.com/news/business/articles/2015/05/27/fifas-commercial-partners-urged-to-make-their-voices-heard1', ') ==> ', 99.9515992190022, '%')
(23, '==> ', 'http://www.cbc.ca/news/business/fifa-sponsors-like-scotiabank-coke-and-visa-demand-change-as-scandal-rocks-soccer-world-1.3090586', '( doc.', 'http://www.cbc.ca/news/business/fifa-sponsors-like-scotiabank-coke-and-visa-demand-change-as-scandal-rocks-soccer-world-1.3090586', ') & ', 'http://time.com/3899602/visa-coca-cola-fifa/?utm_source=feedburner&utm_medium=feed&utm_campaign=Feed%253A%2Btime%252Fworld%2B%2528TIME%253A%2BTop%2BWorld%2BStories%2529&utm_content=FeedBurner%2Buser%2Bview', '( doc.', 'http://time.com/3899602/visa-coca-cola-fifa/?utm_source=feedburner&utm_medium=feed&utm_campaign=Feed%253A%2Btime%252Fworld%2B%2528TIME%253A%2BTop%2BWorld%2BStories%2529&utm_content=FeedBurner%2Buser%2Bview', ') ==> ', 99.9513830311057, '%')
(24, '==> ', 'http://www.wfsb.com/story/29170374/fifas-commercial-partners-urged-to-make-their-voices-heard', '( doc.', 'http://www.wfsb.com/story/29170374/fifas-commercial-partners-urged-to-make-their-voices-heard', ') & ', 'http://www.usatoday.com/story/sports/soccer/2015/05/27/fifas-commercial-partners-urged-to-make-their-voices-heard/28022815/', '( doc.', 'http://www.usatoday.com/story/sports/soccer/2015/05/27/fifas-commercial-partners-urged-to-make-their-voices-heard/28022815/', ') ==> ', 99.94928165872287, '%')
(25, '==> ', 'http://www.bradenton.com/2015/05/27/5820238/fifas-commercial-partners-urged.html#storylink%3Drss', '( doc.', 'http://www.bradenton.com/2015/05/27/5820238/fifas-commercial-partners-urged.html#storylink%3Drss', ') & ', 'http://www.timesunion.com/news/world/article/FIFA-s-commercial-partners-urged-to-make-their-6289599.php', '( doc.', 'http://www.timesunion.com/news/world/article/FIFA-s-commercial-partners-urged-to-make-their-6289599.php', ') ==> ', 99.94920607010476, '%')
(26, '==> ', 'http://www.denverpost.com/rapids/ci_28198317/fifas-commercial-partners-urged-make-their-voices-heard?source=rss', '( doc.', 'http://www.denverpost.com/rapids/ci_28198317/fifas-commercial-partners-urged-make-their-voices-heard?source=rss', ') & ', 'http://www.bradenton.com/2015/05/27/5820238/fifas-commercial-partners-urged.html#storylink%3Drss', '( doc.', 'http://www.bradenton.com/2015/05/27/5820238/fifas-commercial-partners-urged.html#storylink%3Drss', ') ==> ', 99.94569742791852, '%')
(27, '==> ', 'http://www.bradenton.com/2015/05/27/5820238/fifas-commercial-partners-urged.html#storylink%3Drss', '( doc.', 'http://www.bradenton.com/2015/05/27/5820238/fifas-commercial-partners-urged.html#storylink%3Drss', ') & ', 'http://www.foxsports.com/soccer/story/fifas-commercial-partners-urged-to-make-their-voices-heard-052715', '( doc.', 'http://www.foxsports.com/soccer/story/fifas-commercial-partners-urged-to-make-their-voices-heard-052715', ') ==> ', 99.94063245978803, '%')
(28, '==> ', 'http://www.denverpost.com/rapids/ci_28198317/fifas-commercial-partners-urged-make-their-voices-heard?source=rss', '( doc.', 'http://www.denverpost.com/rapids/ci_28198317/fifas-commercial-partners-urged-make-their-voices-heard?source=rss', ') & ', 'http://www.usnews.com/http:/admin.usnews.com/news/business/articles/2015/05/27/fifas-commercial-partners-urged-to-make-their-voices-heard1', '( doc.', 'http://www.usnews.com/http:/admin.usnews.com/news/business/articles/2015/05/27/fifas-commercial-partners-urged-to-make-their-voices-heard1', ') ==> ', 99.93640337961513, '%')
(29, '==> ', 'http://www.foxsports.com/soccer/story/fifas-commercial-partners-urged-to-make-their-voices-heard-052715', '( doc.', 'http://www.foxsports.com/soccer/story/fifas-commercial-partners-urged-to-make-their-voices-heard-052715', ') & ', 'http://www.kpho.com/story/29170374/fifas-commercial-partners-urged-to-make-their-voices-heard', '( doc.', 'http://www.kpho.com/story/29170374/fifas-commercial-partners-urged-to-make-their-voices-heard', ') ==> ', 99.93497340663357, '%')
(30, '==> ', 'http://www.timesunion.com/news/world/article/FIFA-s-commercial-partners-urged-to-make-their-6289599.php', '( doc.', 'http://www.timesunion.com/news/world/article/FIFA-s-commercial-partners-urged-to-make-their-6289599.php', ') & ', 'http://www.canadianbusiness.com/business-news/following-arrest-of-7-fifa-officials-sponsors-of-world-soccer-body-urged-to-press-for-change/', '( doc.', 'http://www.canadianbusiness.com/business-news/following-arrest-of-7-fifa-officials-sponsors-of-world-soccer-body-urged-to-press-for-change/', ') ==> ', 99.93061932137827, '%')
(31, '==> ', 'http://www.wfsb.com/story/29170374/fifas-commercial-partners-urged-to-make-their-voices-heard', '( doc.', 'http://www.wfsb.com/story/29170374/fifas-commercial-partners-urged-to-make-their-voices-heard', ') & ', 'http://www.timesunion.com/news/world/article/FIFA-s-commercial-partners-urged-to-make-their-6289599.php', '( doc.', 'http://www.timesunion.com/news/world/article/FIFA-s-commercial-partners-urged-to-make-their-6289599.php', ') ==> ', 99.92939624253862, '%')
