(24, '==> ', 'https://elpais.com/internacional/2008/03/26/del_alfiler_al_elefante/1206518400_120651.html', '( doc.', 'https://elpais.com/internacional/2008/03/26/del_alfiler_al_elefante/1206518400_120651.html', ') & ', 'https://elpais.com/elpais/2016/05/23/buenavida/1464017432_621166.html', '( doc.', 'https://elpais.com/elpais/2016/05/23/buenavida/1464017432_621166.html', ') ==> ', 93.19613012451178, '%')
(25, '==> ', 'https://www.lapatria.com/denuncie/la-guaqueria-resucita-en-semana-santa-435517', '( doc.', 'https://www.lapatria.com/denuncie/la-guaqueria-resucita-en-semana-santa-435517', ') & ', 'https://www.elsoldemexico.com.mx/mexico/politica/cuando-pueda-ser-politica-sera-tarde-para-salvar-el-planeta-cambio-climatico-greta-thunberg-3341822.html', '( doc.', 'https://www.elsoldemexico.com.mx/mexico/politica/cuando-pueda-ser-politica-sera-tarde-para-salvar-el-planeta-cambio-climatico-greta-thunberg-3341822.html', ') ==> ', 93.18698501047147, '%')
(26, '==> ', 'https://elpais.com/deportes/2019/01/24/actualidad/1548312498_610951.html', '( doc.', 'https://elpais.com/deportes/2019/01/24/actualidad/1548312498_610951.html', ') & ', 'https://elpais.com/elpais/2019/03/28/icon/1553780666_217046.html', '( doc.', 'https://elpais.com/elpais/2019/03/28/icon/1553780666_217046.html', ') ==> ', 93.15888412973446, '%')
(27, '==> ', 'https://www.lapatria.com/denuncie/la-guaqueria-resucita-en-semana-santa-435517', '( doc.', 'https://www.lapatria.com/denuncie/la-guaqueria-resucita-en-semana-santa-435517', ') & ', 'https://smoda.elpais.com/moda/actualidad/croana-albalia-representacion-bisexualidad-espana/', '( doc.', 'https://smoda.elpais.com/moda/actualidad/croana-albalia-representacion-bisexualidad-espana/', ') ==> ', 93.15225341419918, '%')
(28, '==> ', 'http://www.lapatria.com/internacional/el-fundador-de-wikileaks-julian-assange-fue-detenido-por-las-autoridades-inglesas', '( doc.', 'http://www.lapatria.com/internacional/el-fundador-de-wikileaks-julian-assange-fue-detenido-por-las-autoridades-inglesas', ') & ', 'https://www.elsoldemexico.com.mx/mexico/politica/cuando-pueda-ser-politica-sera-tarde-para-salvar-el-planeta-cambio-climatico-greta-thunberg-3341822.html', '( doc.', 'https://www.elsoldemexico.com.mx/mexico/politica/cuando-pueda-ser-politica-sera-tarde-para-salvar-el-planeta-cambio-climatico-greta-thunberg-3341822.html', ') ==> ', 93.13754404895909, '%')
(29, '==> ', 'https://www.diariodequeretaro.com.mx/circulos/turismo/vitaflumen-pasajes-queretanos-del-noroeste-3345137.html', '( doc.', 'https://www.diariodequeretaro.com.mx/circulos/turismo/vitaflumen-pasajes-queretanos-del-noroeste-3345137.html', ') & ', 'https://cincodias.elpais.com/cincodias/2019/04/04/companias/1554356559_842382.html', '( doc.', 'https://cincodias.elpais.com/cincodias/2019/04/04/companias/1554356559_842382.html', ') ==> ', 93.09531874849722, '%')
(30, '==> ', 'https://www.elsoldemexico.com.mx/deportes/automotriz/mustang-ford-lincoln-corsair-2020-mustang-gt-performance-package-3343203.html', '( doc.', 'https://www.elsoldemexico.com.mx/deportes/automotriz/mustang-ford-lincoln-corsair-2020-mustang-gt-performance-package-3343203.html', ') & ', 'https://www.elsoldemexico.com.mx/metropoli/cdmx/el-dolor-y-la-muerte-de-cristo-en-iztapalapa-3344930.html', '( doc.', 'https://www.elsoldemexico.com.mx/metropoli/cdmx/el-dolor-y-la-muerte-de-cristo-en-iztapalapa-3344930.html', ') ==> ', 92.96498075621257, '%')
(31, '==> ', 'https://smoda.elpais.com/moda/actualidad/croana-albalia-representacion-bisexualidad-espana/', '( doc.', 'https://smoda.elpais.com/moda/actualidad/croana-albalia-representacion-bisexualidad-espana/', ') & ', 'https://www.elsoldemexico.com.mx/metropoli/policia/hallan-muerta-a-mama-maria-del-rosario-sacmex-de-bruno-nino-abandonado-en-perisur-3342525.html', '( doc.', 'https://www.elsoldemexico.com.mx/metropoli/policia/hallan-muerta-a-mama-maria-del-rosario-sacmex-de-bruno-nino-abandonado-en-perisur-3342525.html', ') ==> ', 92.88244033144196, '%')
(32, '==> ', 'https://elpais.com/elpais/2019/04/10/buenavida/1554899497_775283.html', '( doc.', 'https://elpais.com/elpais/2019/04/10/buenavida/1554899497_775283.html', ') & ', 'https://elpais.com/cultura/2019/03/05/actualidad/1551791583_829507.html', '( doc.', 'https://elpais.com/cultura/2019/03/05/actualidad/1551791583_829507.html', ') ==> ', 92.82803909690325, '%')
(33, '==> ', 'https://elpais.com/elpais/2019/03/28/icon/1553780666_217046.html', '( doc.', 'https://elpais.com/elpais/2019/03/28/icon/1553780666_217046.html', ') & ', 'https://elpais.com/elpais/2016/04/27/tentaciones/1461769451_452064.html', '( doc.', 'https://elpais.com/elpais/2016/04/27/tentaciones/1461769451_452064.html', ') ==> ', 92.76356439591119, '%')
